Schlüssel;Zusammenfassung;Ursprüngliche Schätzung;Verbleibende Schätzung;Benötigte Zeit;Priorität;Beschreibung
MDK-12960;QPs - Prüfbericht - Anzahl der Personen bei Plaisibilitätskontrolle wird nicht korrekt berechnet;14400;0;14400;Medium;"IST: 

* Es existieren 2 EHB A, in welchen das Feld ""A9"" mit ja markiert ist 
* Es existieren 2 EHB A, in welchen das Feld ""A9"" mit nein markiert ist 
* Im Prüfbericht wird auf Seite 2 der Satz ""Eine personenbezogene Plausibilitätskontrolle erfolgte bei 0 der in die Qualitätsprüfung einbezogenen Personen."" angezeigt 

Soll: 

Im Prüfbericht soll der folgende Satz stehen: ""Eine personenbezogene Plausibilitätskontrolle erfolgte bei 2 der in die Qualitätsprüfung einbezogenen Personen."" Da die Frage A9 2x mit ""ja"" beantwortet wurde"
MDK-12956;Supervision: Neubetreten des Produktbogens als Supervisior nach Bearbeitung defekt;14400;0;9000;Medium;"Ein Produktbogen ist in Supervision. Der Supervisor editiert den Produktbogen und synchronisiert NICHT. Der Produktbogen ist also in Supervision und Lokal verändert. Er verlässt den Produktbogen und öffnet ihn erneut, dann verhält sich das Frontend so, als wäre der Produktbogen nicht mehr in Supervision und es erscheint ein Fehler 405. 

Nachdem der Produktbogen synchronisiert wurde verhält sich das Frontend wieder korrekt."
MDK-12955;Supervision / Review: Gelöschte Kommentare werden nicht aus der UI entfernt;14400;0;2700;Medium;"Wird ein Kommentar als Supervisor oder Reviewer erstellt und dann gelöscht, ist er immer noch sichtbar. Der Nutzer muss den Produktbogen neu laden, damit die Änderungen sichtbar werden. 

Hat vermutlich mit der Umstellung der id's der Kommentare zu tun."
MDK-12954;QPs - Wiederholungsprüfung funktioniert nicht;14400;0;26100;Medium;"IST: 
* Es existiert für QPs ein Auftrag mit einem Prüfbogen B1 (Zustand freigegeben) und ein Prüfbericht (Zustand erstellt) mit einer Prüfberichtsnummer 123 
* Es wird ein neuer Auftrag erstellt mit der Begutachtungsart ""Wiederholungsprüfung"" und der Prüfberichtsnummer 123 
* Der Auftrag ist im Zustand zugewiesen und der Prüfbogen B1 ist dem Auftrag nicht zugewiesen. 

Soll: 
Der Prüfbogen B1 soll dem Auftrag der Wiederholungsprüfung automatisch zugeordnet sein. 
"
MDK-12929;[Nutzergruppen] Gültigkeitszeitraum des Nutzers wird nicht beachtet;14400;0;49500;Medium;"Der Gültigkeitszeitraum eines Nutzers innerhalb einer Nutzergruppe wird nicht berücksichtigt. 

Im Beispiel (siehe Screens) wurde der Nutzer claus_cleber der Nutzergruppe ""Gutachter geändert"" zugeordnet mit dem Gültigkeitszeitraum 01.07.-04.07.2020. Der Zeitraum liegt also in der Vergangenheit. Trotzdem verfügt claus_cleber noch über die Rolle, die er über die Nutzergruppe erhält (PRODUKTTYP_ANLEGEN_BESCHWERDE)."
MDK-12928;[Wiedervorlage] Beim Löschen der Wiedervorlage ist es nicht möglich einen Vermerk einzugeben;14400;0;10800;Medium;"Vorgehen: 
* Anlegen eines vorgangsbezogenen Produkttyps (z.B. Audit durch einen anderen MDK) 
* Überführung in den Zustand ""In Bearbeitung"" 
* Einrichten einer Wiedervorlage 
* Abwarten bis Wiedervorlage abgelaufen ist 

Erwartetes Ergebnis: 

Gemäß V-AW-49 soll es möglich sein, einen Grund für das Löschen der Wiedervorlage einzugeben 

Der Grund muss auch im Löschprotokoll hinterlegt werden. 

Tatsächliches Ergebnis: 

Es ist möglich die Wiedervorlage zu löschen (Bei Prüfaufträgen), aber die Eingabe eines Vermerks ist nicht möglich"
MDK-12923;QPa - Bogen Person - E-Logik funktioniert bei 10.44, 10.45, 10.47 nicht;14400;0;38700;Medium;"Folgendes Verhalten tritt in den Abschnitten 10.44, 10.45, 10.47 auf 

Ist: 
* In der Frage wird Ja markiert 
* die Felder ""Empfehlung / Maßnahme"", ""Defizitbenennung"" sind geöffnet und befüllbar 
* Der Abschnitt ist nicht vollständig (keinen Haken) 

Soll: 
* gemäß der E-Logik sollen bei ""Ja"" die Felder ""Empfehlung / Maßnahme"", ""Defizitbenennung"" geschloßen werden und der Abschnitt ist vollständig (Haken setzen) 

 "
MDK-12918;"[Beschwerde] Korrespondezen können nicht im Zustand ""Versand ausstehend"" versendet werden, wenn das Produktergebnis freigegeben wurde";14400;0;14400;Medium;"Vorgehen: 
* Anlegen des Produkttyps ""Beschwerde""  
* Zuteilung eines Bearbeiters 
* Alle Versandumfänge sind manuell und nicht automatisch 
* Freigeben des Produktergebnisses Formular Beschwerde 

Erwartetes Ergebnis: 

Auch im Zustand ""Versand aussehend"" kann ich die Korrespondenz versenden 

Tatsächliches Ergebnis: 

Ich kann die Korrespondenz nicht versenden, obwohl der Trigger erfolgt ist und der Nutzer Bearbeiter des Vorgangs ist: 

  !image-2020-07-15-10-06-04-538.png!"
MDK-12902;In QPa SGB V u SGB XI wird in 8.2.b der Name d Kasse nach Freigabe nicht angezeigt;14400;0;63900;Medium;"In QPa SGB V u SGB XI EHB Person wird in 8.2.b der Name der Kasse nach Freigabe nicht mehr angezeigt, wenn ein Prüfbericht existiert. 

Der Wert wurde in Bearbeitung gesetzt. 
Auch bei Wiederaufruf des Bogens in Bearbeitung wird der Wert angezeigt. 

Wenn im EHB-Person.. 
1. Der Wert gesetzt wird 
2. Der Bogen freigegeben wird 
3. Der Bogen verlassen wird 
5. Ein Prüfbericht erstellt wird 
6. der freigegebene Bogen erneut angezeigt wird 

dann.. 
wird der Name der Kasse nicht mehr angezeigt. 

Details: 
Name der Kasse wird als CustomList befüllt 

Die weiteren Felder, wie Straße u Hausnummer bleiben befüllt."
MDK-12901;BE Auf-Vw: Versand von Anhörung mit Lazy Bean;21600;0;21600;Medium;"Der AuftragMuendlicheAnhoerungTemplateDataBuilder weist eine zirkuläre Bean-Abhängigkeit auf, die derzeit mit einem @Lazy aufgebrochen wird. Dies führt aktuell zu einer NPE. 

Die zirk. Abhängigkeit kommt letztlich zustande, weil die TemplateData-Klasse von der Client-View-Klasse abgeleitet ist. Letztere bindet im Mapper die Listen von Views auf die Korrespondenzen und Versandumfänge ein, wozu wieder Versand-Komponenten notwendig ist. Es wird empfohlen, anstelle der Beerbung eine eigene TemplateData-Klasse für QpAuftrag zu definieren, in der die sinnvollen Werte vorkommen, insbesondere aber keine Views auf andere Versand-Objekte. 

Bei der Untersuchung der zirk. Abhängigkeit ist des Weiteren aufgefallen, dass die generierte Implementierung von AuftragMuendlicheAnhoerungTemplateDataMapper anscheinend letztlich nur leere Views anlegt, so dass Dokumente mit entsprechendem Kontext keine oder unvollständige Daten vorfinden würden."
MDK-12899;"[Beschwerde] Beschwerdeweg Ergänzung bleibt Pflichtfeld, auch wenn Sonstige unter ""Beschwerdeweg"" nicht ausgewählt ist";14400;0;3600;Medium;"Erwartetes Verhalten: 

Wenn ich im Produktergebnis für Beschwerde beim Feld Beschwerdeweg einen anderen Wert als Sonstige auswähle, dann soll die Pflichtfeldmarkierung bei ""Beschwerdeweg Ergänzung"" verschwinden 

Tatsächlich: 

Beschwerdeweg Ergänzung ist unabhängig von der Auswahl bei Beschwerdeweg immer als Pflichtfeld markiert: 

!image-2020-07-14-16-43-49-263.png!"
MDK-12898;Löschen von wiederholbaren Frageeinträgen in Ergebnisbögen fehlerhaft;144000;0;37800;Medium;"In den generierten ProduktErgebnisXXXGenComponent Klassen im Client wird in der updateProduktergebnis Methode ein merge für das Zusammenführen von aktualisiertem und altem Inhalt aufgerufen. Dies unterscheidet sich von der gleichen Methode in den Produktbasis Komponenten, wo richtigerweise ein Object.assign verwendet wird. 
Das merge führt dazu, dass Einträge in Listen (wie wiederholbare Fragekörper) nicht mehr entfernt werden können. 

Für das Release 2004 musste die Methode deshalb für alle betroffenen Produkte (Beschwerde, Stellungnahme, Gremienarbeit und mündliche Anhörung) einmal manuell überschrieben werden. 

Im Rahmen dieses Tickets soll eine saubere Lösung über den Produktdesigner erfolgen. 
Dabei sollte analysiert werden warum die Änderung auf merge mit https://mdk-bs-dev02.test-server.ag/produkterstellung/produktdesigner/merge_requests/155/diffs erfolgte um Seiteneffekte zu vermeiden."
MDK-12897;Auflösung mdk-scs-dependencies schlägt fehl;14400;0;9000;Medium;"Gradle hat Probleme beim Auflösen der Versionen in folgender Konstellation: 
- produkt-anfrage zieht mdk-scs-dependencies:2005.1.0-SNAPSHOT an 
- auftrags-verwaltung zieht mdk-scs-dependencies:2004.2.+ an 

Es kommt zum Fehler: Problems reading data from Binary store in C:\Users\krummenauer\AppData\Local\Temp\gradle159616562772049719.bin offset 0 exists? true 

Anscheinend ein Fehler intern bei Gradle 

Wenn Produkt-Anfrage eine kleinere Major Version anziehen würde (z.B. 0.52.0-SNAPSHOT) klappt es 


Pipeline mit diesem Fehler: https://mdk-bs-dev02.test-server.ag/verwaltungssystem/auftrags-verwaltung/-/jobs/218338 
"
MDK-12896;Vorgang: Zustandsübergänge Erstellt nach Zugewiesen nach In Bearbeitung;21600;0;54000;Medium;"IST: Mit Setzen eines Bearbeiters geht der Vorgang automatisch in den Zustand _In Bearbeitung._ 

SOLL: Mit Setzen eines Bearbeiters (normalerweise automatisch bei der Erstellung von sonstigen Vorgängen) geht der Zustand auf _zugewiesen_. Erst mit Bearbeitung des Vorgangs geht der Zustand auf _in Bearbeitung_. Wird anschließend ein anderer Bearbeiter gesetzt, geht der Vorgang wieder in den Zustand _zugewiesen_. "
MDK-12895;HKP / QPA Bearbeiteranzeige bei Review und Supervision;14400;0;39600;Medium;"Erwartetes Verhalten: mit der Übergabe in den Review bzw. in die Supervision wird der Bearbeiter in der Produktübersicht aktualisiert: neuer Bearbeiter jetzt der Reviewer/ Supervisor (was er ja auch ist) 
Tatsächliches Verhalten: angezeigter Bearbeiter ist der ursprüngliche Bearbeiter der Produktbasis (sprich: Gutachter)  
Schritte zur Reproduktion: (vgl. Screenshot) 
getestet auf: Systemtest 
Clientversion: mdk-client-2004.1.0-rc-final-x64"
MDK-12894;QPs- Teamgesprächsbogen - Übernahme aus Prüfbogen A;14400;0;19800;Medium;"IST: 
* Aus dem Prüfbogen A werden aus den ""-fachlichen Bewertungen"" und den unteren Abschnitten Daten in den Teamgesprächsbogen übernommen. 
** 5.1 Abwehr von Risiken und Gefährdungen 
** 5.2 Biographieorientierte Unterstützung 
** 5.3 Einhaltung von Hygieneanforderungen 
** 5.4 Hilfsmittelversorgung 
* Sind im Prüfbogen A in den Abschnitten die Checkboxen gesetzt, aber kein Inhalt im Freitextfeld, dann wird im Teamgesprächsbogen der Wert ""Null"" angezeigt. 


Soll: Es soll kein ""Null"" und kein Inhalt angezeigt werden 
!image-2020-07-14-15-27-54-378.png|thumbnail! 
!image-2020-07-14-15-28-41-193.png|thumbnail!"
MDK-12893;Produktdesigner, Prüfbericht - TNZ-Checkbox aus Überschrift wird als Inhalt aufgelistet;14400;0;8100;Medium;Da die TNZ-Checkbox aus den Überschriften technisch als erster Kind-Knoten gespeichert wird, wird diese derzeit auch im PDF mit ausgegeben. Die Erwartung ist, dass der Wert der TNZ-Checkbox nicht angezeigt wird.
MDK-12889;Mündliche Anhörung: Freigabe Produktbausteine ist immer möglich;14400;0;162000;Medium;"Ist: Die Freigabe von Produktbausteinen ist in jedem Zustand des Vorgangs möglich. 
Soll: Die Freigabe von Produktbausteinen soll nur möglich sein, wenn sich der Vorgang/Auftrag nicht in den spezifizierten Zuständen befindet. 

https://mdk-confluence.test-server.ag/display/SN/P-AW-23+%5BProduktbaustein%5D+freigeben"
MDK-12888;QPs - Prüfbogen A - Berechnung in 4.1;14400;0;10800;Medium;"IST: 
Daten in Prüfbogen A: 
* B14 = ja 
* B6 = 03.04.2019 
* A2 = 14.05.2020 

Die Frage "" liegt der Einzug..."" in 4.1 in Abschnitt ""Die versorgte Person wurde während der Eingewöhnung in die neue Lebensumgebung zielgerichtet unterstützt."" wird mit ""Ja"" beantwortet 

Soll: 

Die Frage soll mit ""nein"" automatisch vorbelegt sein 

!image-2020-07-14-13-15-44-100.png|thumbnail! 
!image-2020-07-14-13-16-03-406.png|thumbnail! 
!image-2020-07-14-13-16-32-254.png|thumbnail! 
!image-2020-07-14-13-16-42-266.png|thumbnail! 
"
MDK-12887;[Personalverwaltung] Falsche Fehlermeldungen bei der Abfrage von Reisedaten;14400;0;21600;Medium;"Wenn ich über Postman die Schnittstelle für Reisedaten durchtesete, gibt es bei einigen Fehlerfällen eine falsche Rückmeldung von der Schnittstelle. 

1) Bei einem Request, der einen Zeitraum über 31 Tage abfragt, erscheint keine Fehlermeldung. 

2) Bei einem Request, wo der Zeitraum bis in der Zukunft liegt, erscheint die Fehlermeldng, dass der Mitarbeiter mit der Perosnalnummer nicht existiert. 

  

*+Request_1 - Zeitraum über 31 Tage+* 
<ReisedatenAbfrage xmlns=""http://mdk-it.de/xml-schema/BS/PVS/Reisedaten/0.2""> 
  <Termintyp>QPRUEFUNG</Termintyp> 
  <Zeitraum von-inkl=""2020-01-13"" bis-inkl=""2020-07-10""/> 
  <Mitarbeiter psnr=""10A""/> 
</ReisedatenAbfrage> 
  

+*Request_2 - Zeitraum bis liegt in der Zukunft*+ 
<ReisedatenAbfrage xmlns=""http://mdk-it.de/xml-schema/BS/PVS/Reisedaten/0.2""> 
  <Termintyp>QPRUEFUNG</Termintyp> 
  <Zeitraum von-inkl=""2020-01-13"" bis-inkl=""2020-12-31""/> 
  <Mitarbeiter psnr=""10A""/> 
</ReisedatenAbfrage>"
MDK-12886;QPs - Prüfbogen A - 2.3 Informationserfassung- Pflichtfeldmarkierung fehlt;14400;0;15300;Medium;"IST: 

* Prüfbogen A, 2.3 Wundversorgung - Informationserfassung 
* In Feld C muss die Checkbox oder das Datum befüllt werden, da eines der Felder ein Pflichtfeld ist (Oder-Beziehung) 
* Es fehlt die Pflichtfeldmarkierung * 

Soll: 
* Für den Anwender soll ersichtlich sein, dass eines der Felder ein Pflichtfeld ist"
MDK-12885;[Bearbeitung und Prozess] Bei Vergabe eines gutachters mit Dienststandort ohne Straße erscheint ein 500er Fehler;14400;0;5400;Medium;"Vorgehen: 
* Es gibt einen Gutachter, der einem Standort zugeordnet ist, ohne Straße (in diesem Fall hannibal_hinz) 

!image-2020-07-14-10-37-51-414.png! 
* Anlegen eines Prüfauftrags mit Häusliche Krankenpflege Oma 
* Verplanen des Prüfauftrags mit hannibal_hinz  

Ergebnis: 

Es erscheint ein 500er Fehler und die Verplanung des Auftrags ist nicht möglich. Der Fehler ist umgehbar, wenn man einen Standort mit Straße wählt. 

!image-2020-07-14-10-33-29-045.png! 

!image-2020-07-14-10-34-55-566.png!"
MDK-12884;QPS -Prüfbogen A - Button trifft nicht zu bei 2.3 Informationserfassung;14400;0;7200;Medium;"IST: 
Wird bei EHB A und 2.3 Informationserfassung der Button ""trifft nicht zu"" betätigt, dann kann der Button ""Weiteres"" betätigt und Informationen für die Wunde eingegeben werden. 

Soll: Es soll entweder ""trifft nicht zu"" markiert werden und der Abschnitt ist nicht befüllbar oder es soll nicht ""trifft nicht zu"" markiert werden und der Abschnitt ist befüllbar."
MDK-12881;[Benachrichtigungen] Benachrichtigung bei Ablauf der Erledigungsfrist wird nicht für Vorgangsbeogene Produkttypen ausgelöst;14400;0;11700;Medium;"Vorgehen: 
* Anlage eines Vorgangsbezogenen Produkttyps (z.B. Gremium oder Sonstiger Vorgang) 
* Die Erledigungsfrist auf den heutigen Tag legen 
* 2 minuten warten 

Erwartetes Ergebnis: 

Auch bei Vorgangsbezogenen Produkttypen wird eine Benachrichtigung ausgelöst, weil die Erledigungsfrist abläuft 

Tatsächliches Ergebnis:  

Es wird bei Prüfauftrag (QPS, QPA, und QP HKP) eine Benachrichtigung ausgelöst, aber nicht bei den vorgangsbezogenen Produkttypen"
MDK-12880;QPs - Prüfbogen A - 1.2 Informatiosnerfassung - keine Nachkommastelle bei Größe eingebbar;14400;0;18000;Medium;"IST: 

* Bei Prüfbogen A, 1.2 Unterstützung im Bereich der Ernährung und Flüssigkeitsversorgung - Informationserfassung ist in Feld ""Größe (in cm) kein Komma eingebbar und somit keine Nachkommastelle möglich. 

Soll: Es soll ein Komma und eine Nachkommastelle eingebbar sein 
"
MDK-12876;QPs - Prüfbogen A - Kapitel 1.1 Informationserfassung - Keine Hilfsmittel;14400;0;3600;Medium;"IST: 

* Im Prüfbogen A, Bereich 1, 1.1 Informationserfassung wird die CB "" Keine Hilfsmittel"" markiert 
* Wird der Button Weiteres betätigt, kann ein Hilfmittel hinzugefügt werden 

Soll: 
* Wird ""Keine Hilfsmittel"" markiert und der Button ""Weiteres"" betätigt, dann darf kein Hilfsmittel hinzugefügt werden 

!image-2020-07-14-09-21-38-062.png|thumbnail!"
MDK-12875;[Beschwerde] Neue Formularlogik -> Felder bleiben enabled im ReadOnly Modus;28800;0;20700;Medium;"Die Felder, die mit der neuen Formularlogik umgesetzt wurden (z.B. 1.1.1 Fretextfeld und 1.1.2 Beschwerdeführer) bleiben im Freigegebenen Beschwerde-Bogen aktiviert. 

!image-2020-07-13-20-43-37-753.png|thumbnail! 


Das Problem ist, dass die neuen Formularlogiken durchgeführt werden (siehe [hier|https://mdk-bs-dev02.test-server.ag/produkterstellung/mdk-client-workspace/blob/398dee137327b9e313584d75b7c6dd71c2b9bba9/libs/mdk-ui-produkt-core/src/lib/ui-produkt-core/shared/components/produkt-ergebnis.component.ts#L381]), obwohl der Bogen auf Read-Only steht. 
Der read-only State kann an der Stelle nicht einfach abgefragt werden, da er erst später asynchron geladen wird (siehe [hier|https://mdk-bs-dev02.test-server.ag/produkterstellung/mdk-client-workspace/blob/398dee137327b9e313584d75b7c6dd71c2b9bba9/libs/mdk-ui-produkt-core/src/lib/ui-produkt-core/shared/components/produkt-ergebnis.component.ts#L565]) 

Änderungen werden aber nicht abgespeichert, darum ist es nur ein Anzeigebug 
Das Verhalten ist ähnlich zu MDK-12820 , hat aber einen anderen technischen Hintergrund 
"
MDK-12871;"SGB XI (und HKP) - Überschrift ""Feststellung / Bemerkung"" nicht in Prüfbericht übernehmen";14400;0;9000;Medium;"Inhalte aus den CK-Editor-Feldern ""Feststellung / Bemerkung"" sollen in den Prüfbericht (pdf) übernommen werden, was auch richtig funktioniert (nicht gefüllte Felder werden nicht übernommen). 

Es soll aber nur der Inhalt übernommen werden, nicht die Überschrift ""Feststellung / Bemerkung"". 

Beispiel Ist-Zustand: 

!image-2020-07-13-18-02-05-702.png|width=580,height=546!"
MDK-12869;"SGB XI (und HKP) - Prüfbericht Checkboxen darstellen statt ""trifft (nicht) zu""";14400;0;8100;Medium;"Im Prüfbericht erscheint an Stellen, wo im EHB / im Produktergebnis Checkboxen sind, der Text ""trifft zu"" bzw. ""trifft nicht zu"". 

Angedacht war, insbesondere bei Informationsfragen, eine 1:1 Darstellung. Ist es möglich, die Checkboxen (aktiviert / deaktiviert) statt des v.g. Textes in das pdf zu übernehmen? 

Beispiel aus PDF: 

1.3g 

!image-2020-07-13-17-47-25-351.png|width=239,height=301! 

oder 12.2 

!image-2020-07-13-17-51-51-607.png|width=210,height=129! 

 "
MDK-12853;"[Anfrage] - Feld ""Anfrageeingang"" fehlt";14400;0;3600;Medium;"Unterscheidung zwischen tel. Anfrage und schriftlicher Anfrage fehlt 
SOLL: Es soll in das Produktergebnis ein weiteres Feld ""Anfrageeingang"" (Einzelauswahl / schriftlich, telefonisch) eingefügt werden 

siehe TFI Ticket: https://mdk-jira.test-server.ag/browse/TFI-121"
MDK-12847;Automatische Stoppuhr umbauen auf eigene synchronisierbare Entity;86400;0;188400;Medium;Der Vorgang oder Auftrag ist offline-readonly, daher benötigen wir für die Stoppuhr eine eigene synchronisierbare Entität.
MDK-12840;QPS - Produktergebnis - In die Tabelle in 6.1 bis 6.3 werden fehlerhafte Daten eingespielt;14400;0;12600;Medium;"IST: 

* In der Tabelle ""Erläuterungen zu den nicht erfüllten Anforderungen:"" in Kapitel 6.1 bis 6.3 Prüffragen im Produktergebnis werden im Feld ""Erläuterungen"" die Inhalte aus den Feldern ""Feststellung"" und ""Empfehlung/Maßnahme"" angezeigt 

SOLL: 
Im Feld ""Erläuterung"" sollen jedoch die Inhalte aus den Feldern ""[Freitext Feststellung] und [Freitext Erläuterung] übernommen werden 

!image-2020-07-13-11-27-28-045.png|thumbnail! 

!image-2020-07-13-11-28-40-127.png|thumbnail!"
MDK-12838;QPS - Produktergebnis - Inhalte werden nicht aus dem EHB B in das Produktergebnis übernommen;14400;0;55800;Medium;"IST: 

* Im EHB B sind im Abschnitt 6.1 bis 6.3 Prüffragen die Antworten (Ja/Nein) markiert 
* Die Antworten werden nicht in das Produktergebnis übernommen 

Soll: 

Die Antworten sollen übernommen werden 

"
